species_cluster,Identifier,Location,Biogeographic_region
1,AY996625.1,Mexico: Chihuahua,CENTRAL AMERICA
1,AB368925.1,Japan,EAST ASIA
1,AB368926.1,Japan: Hokkaido,EAST ASIA
1,AB368927.1,Japan: Hokkaido,EAST ASIA
1,AB368928.1,Japan: Hokkaido,EAST ASIA
1,AB368929.1,Japan: Tottori,EAST ASIA
1,AB510854.1,Japan,EAST ASIA
1,AB510855.1,Japan,EAST ASIA
1,AB510859.1,Japan,EAST ASIA
1,AB510861.1,Japan,EAST ASIA
1,AB510865.1,Japan,EAST ASIA
1,AB510869.1,Japan,EAST ASIA
1,AB510870.1,Japan,EAST ASIA
1,AB510872.1,Japan,EAST ASIA
1,AB510874.1,Japan,EAST ASIA
1,AB510876.1,Japan,EAST ASIA
1,AB510879.1,Japan,EAST ASIA
1,AB510883.1,Japan,EAST ASIA
1,AB510888.1,Japan,EAST ASIA
1,AB510889.1,Japan,EAST ASIA
1,AB510890.1,Japan,EAST ASIA
1,AB510891.1,Japan,EAST ASIA
1,AB510893.1,Japan,EAST ASIA
1,AB510894.1,Japan,EAST ASIA
1,AB510895.1,Japan,EAST ASIA
1,AB510896.1,Japan,EAST ASIA
1,AB510897.1,Japan,EAST ASIA
1,AB510899.1,Japan,EAST ASIA
1,AB510900.1,Japan,EAST ASIA
1,AB716750.1,Japan,EAST ASIA
1,AB716752.1,Japan,EAST ASIA
1,AY554328.1,Bhutan,EAST ASIA
1,AY554329.1,Bhutan,EAST ASIA
1,AY554331.1,Bhutan,EAST ASIA
1,AY996714.1,Russia,EAST ASIA
1,KF032520.1,China,EAST ASIA
1,KF032523.1,China,EAST ASIA
1,KF032524.1,China,EAST ASIA
1,KF032525.1,China,EAST ASIA
1,KF032528.1,China,EAST ASIA
1,KF032529.1,China,EAST ASIA
1,KF032531.1,China,EAST ASIA
1,KJ643336.1,China,EAST ASIA
1,KJ643342.1,China,EAST ASIA
1,KJ643344.1,China,EAST ASIA
1,KJ643345.1,China,EAST ASIA
1,KJ643346.1,China,EAST ASIA
1,KJ643348.1,China,EAST ASIA
1,KJ643349.1,China,EAST ASIA
1,KJ643351.1,China,EAST ASIA
1,KJ643352.1,China,EAST ASIA
1,KJ769266.1,Russia,EAST ASIA
1,KP162308.1,China,EAST ASIA
1,KP162309.1,China,EAST ASIA
1,KP162313.1,China,EAST ASIA
1,KP162315.1,China,EAST ASIA
1,KP162316.1,China,EAST ASIA
1,KP162318.1,China,EAST ASIA
1,KP162328.1,China,EAST ASIA
1,KP162330.1,China,EAST ASIA
1,KP162331.1,China,EAST ASIA
1,KP162332.1,China,EAST ASIA
1,KP162333.1,China,EAST ASIA
1,KP162334.1,China,EAST ASIA
1,KP162335.1,China,EAST ASIA
1,KP162336.1,China,EAST ASIA
1,KP960523.1,Russia,EAST ASIA
1,KP960524.1,Russia,EAST ASIA
1,KP960533.1,Russia,EAST ASIA
1,KP960534.1,Russia,EAST ASIA
1,KR673672.1,South Korea,EAST ASIA
1,KR673705.1,South Korea,EAST ASIA
1,KT182085.1,South Korea,EAST ASIA
1,KT182086.1,South Korea,EAST ASIA
1,KT355029.1,Russia,EAST ASIA
1,KT822257.1,China,EAST ASIA
1,KT822258.1,China,EAST ASIA
1,KT822259.1,China,EAST ASIA
1,KT822260.1,China,EAST ASIA
1,KT822261.1,China,EAST ASIA
1,KT822265.1,China,EAST ASIA
1,KT822266.1,China,EAST ASIA
1,KT822269.1,China,EAST ASIA
1,KT822270.1,China,EAST ASIA
1,KT822271.1,China,EAST ASIA
1,KT822274.1,China,EAST ASIA
1,KT822277.1,China,EAST ASIA
1,KT822279.1,China,EAST ASIA
1,KT822280.1,China,EAST ASIA
1,KT822281.1,China,EAST ASIA
1,KT822282.1,China,EAST ASIA
1,KT822283.1,China,EAST ASIA
1,KT822286.1,China,EAST ASIA
1,KT822292.1,China,EAST ASIA
1,KT822293.1,China,EAST ASIA
1,KT822294.1,China,EAST ASIA
1,KT822295.1,China,EAST ASIA
1,KT822297.1,China,EAST ASIA
1,KT822298.1,China,EAST ASIA
1,KT822299.1,China,EAST ASIA
1,KT822301.1,China,EAST ASIA
1,KT822303.1,China,EAST ASIA
1,KT822306.1,China,EAST ASIA
1,KT822307.1,China,EAST ASIA
1,KT822308.1,China,EAST ASIA
1,KT822309.1,China,EAST ASIA
1,KT822310.1,China,EAST ASIA
1,KT822311.1,China,EAST ASIA
1,KT822312.1,China,EAST ASIA
1,KT822313.1,China,EAST ASIA
1,KT822314.1,China,EAST ASIA
1,KT822316.1,China,EAST ASIA
1,KT822317.1,China,EAST ASIA
1,KT822318.1,China,EAST ASIA
1,KT822321.1,China,EAST ASIA
1,KT822323.1,China,EAST ASIA
1,KT822324.1,China,EAST ASIA
1,KT822325.1,China,EAST ASIA
1,KT822326.1,China,EAST ASIA
1,KT822327.1,China,EAST ASIA
1,KT822329.1,China,EAST ASIA
1,KT822332.1,China,EAST ASIA
1,KT822334.1,China,EAST ASIA
1,KT822335.1,China,EAST ASIA
1,KT822336.1,China: Yunnan,EAST ASIA
1,KU885962.1,China,EAST ASIA
1,KU885964.1,China,EAST ASIA
1,KY389148.1,China,EAST ASIA
1,KY389149.1,China,EAST ASIA
1,KY389150.1,China,EAST ASIA
1,KY389154.1,China,EAST ASIA
1,KY389159.1,China,EAST ASIA
1,KY389160.1,China,EAST ASIA
1,KY389161.1,China,EAST ASIA
1,KY389162.1,China,EAST ASIA
1,KY389163.1,China,EAST ASIA
1,KY389164.1,China,EAST ASIA
1,KY389165.1,China,EAST ASIA
1,KY389166.1,China,EAST ASIA
1,KY389167.1,China,EAST ASIA
1,KY389168.1,China,EAST ASIA
1,KY389169.1,China,EAST ASIA
1,KY389170.1,China,EAST ASIA
1,KY389171.1,China,EAST ASIA
1,KY389172.1,China,EAST ASIA
1,KY389174.1,China,EAST ASIA
1,KY389176.1,China,EAST ASIA
1,KY389178.1,China,EAST ASIA
1,KY389182.1,China,EAST ASIA
1,KY389183.1,China,EAST ASIA
1,KY389184.1,China,EAST ASIA
1,KY389185.1,China,EAST ASIA
1,KY389189.1,China,EAST ASIA
1,KY389191.1,China,EAST ASIA
1,KY389192.1,China,EAST ASIA
1,MG696206.1,South Korea,EAST ASIA
1,MG696210.1,South Korea,EAST ASIA
1,MG931718.1,China,EAST ASIA
1,MG931719.1,China,EAST ASIA
1,MG931720.1,China,EAST ASIA
1,MG931721.1,China,EAST ASIA
1,MG931722.1,China,EAST ASIA
1,MG931731.1,China,EAST ASIA
1,MG931734.1,China,EAST ASIA
1,MG931735.1,China,EAST ASIA
1,MG931736.1,China,EAST ASIA
1,MG931737.1,China,EAST ASIA
1,MG931738.1,China,EAST ASIA
1,MG931739.1,China,EAST ASIA
1,MG931740.1,China,EAST ASIA
1,MG931741.1,China,EAST ASIA
1,MG931742.1,China,EAST ASIA
1,MG931743.1,China,EAST ASIA
1,MG931748.1,China,EAST ASIA
1,MG931750.1,China,EAST ASIA
1,MG931751.1,China,EAST ASIA
1,MG931752.1,China,EAST ASIA
1,MG931753.1,China,EAST ASIA
1,MG931754.1,China,EAST ASIA
1,MG931755.1,China,EAST ASIA
1,MG931756.1,China,EAST ASIA
1,MG931772.1,China,EAST ASIA
1,MG931773.1,China,EAST ASIA
1,MG931774.1,China,EAST ASIA
1,MG931775.1,China,EAST ASIA
1,MG931776.1,China,EAST ASIA
1,MG931777.1,China,EAST ASIA
1,MG931778.1,China,EAST ASIA
1,MG931779.1,China,EAST ASIA
1,MG931781.1,China,EAST ASIA
1,MG931783.1,China,EAST ASIA
1,MG931784.1,China,EAST ASIA
1,MG931785.1,China,EAST ASIA
1,MG931788.1,China,EAST ASIA
1,MG931789.1,China,EAST ASIA
1,MG931791.1,China,EAST ASIA
1,MG931793.1,China,EAST ASIA
1,MG931794.1,China,EAST ASIA
1,MG931796.1,China,EAST ASIA
1,MG931798.1,China,EAST ASIA
1,MG931799.1,China,EAST ASIA
1,MG931800.1,China,EAST ASIA
1,MG931801.1,China,EAST ASIA
1,MG931802.1,China,EAST ASIA
1,MG931806.1,China,EAST ASIA
1,MG931809.1,China,EAST ASIA
1,MG931810.1,China,EAST ASIA
1,MG931811.1,China,EAST ASIA
1,MG931817.1,China,EAST ASIA
1,MG931818.1,China,EAST ASIA
1,MG931819.1,China,EAST ASIA
1,MG931820.1,China,EAST ASIA
1,MG931821.1,China,EAST ASIA
1,MG931822.1,China,EAST ASIA
1,MG931823.1,China,EAST ASIA
1,MG931824.1,China,EAST ASIA
1,MG931825.1,China,EAST ASIA
1,MG931826.1,China,EAST ASIA
1,MG931827.1,China,EAST ASIA
1,MG931829.1,China,EAST ASIA
1,MG931830.1,China,EAST ASIA
1,MG931831.1,China,EAST ASIA
1,MG931832.1,China,EAST ASIA
1,MG931833.1,China,EAST ASIA
1,MG931836.1,China,EAST ASIA
1,MG931837.1,China,EAST ASIA
1,MG931838.1,China,EAST ASIA
1,MG931839.1,China,EAST ASIA
1,MG931840.1,China,EAST ASIA
1,MG931841.1,China,EAST ASIA
1,MG931851.1,China,EAST ASIA
1,MG931861.1,China,EAST ASIA
1,MG931870.1,China,EAST ASIA
1,MG931871.1,China,EAST ASIA
1,MG931873.1,China,EAST ASIA
1,MG931875.1,China,EAST ASIA
1,MG931879.1,China,EAST ASIA
1,MG931884.1,China,EAST ASIA
1,MG931891.1,China,EAST ASIA
1,MG931900.1,China,EAST ASIA
1,MG931914.1,Russia,EAST ASIA
1,MG931921.1,Russia,EAST ASIA
1,MH930140.1,Russia,EAST ASIA
1,MK850394.1,China,EAST ASIA
1,MK850395.1,China,EAST ASIA
1,MN298777.1,China,EAST ASIA
1,MN298778.1,China,EAST ASIA
1,MN298779.1,China,EAST ASIA
1,AY213552.1,USA: New Hampshire,EAST NA
1,AY213555.1,USA: NY,EAST NA
1,AY213556.1,USA: NY,EAST NA
1,AY213557.1,USA: NY,EAST NA
1,AY213559.1,Canada: Quebec,EAST NA
1,AY213560.1,USA: Michigan,EAST NA
1,AY213561.1,USA: Michigan,EAST NA
1,AY213562.1,USA: Michigan,EAST NA
1,AY213569.1,USA: Michigan,EAST NA
1,AY213570.1,USA: Michigan,EAST NA
1,AY996615.1,USA: New Hampshire,EAST NA
1,DQ469802.1,USA: South Carolina,EAST NA
1,FJ664578.1,Canada: Quebec,EAST NA
1,FJ664583.1,USA,EAST NA
1,FJ664606.1,Canada: Quebec,EAST NA
1,FJ664609.1,USA,EAST NA
1,HQ891860.1,Canada,EAST NA
1,JN020974.1,USA: Maryland,EAST NA
1,KC176342.1,USA: Michigan,EAST NA
1,KX065934.1,USA: Mississippi,EAST NA
1,KX065935.1,USA: Mississippi,EAST NA
1,KX065936.1,USA: Mississippi,EAST NA
1,MF686519.1,USA: Tennessee,EAST NA
1,MG931763.1,USA,EAST NA
1,MG931771.1,USA,EAST NA
1,MG931903.1,USA: Minnesota,EAST NA
1,MG931904.1,USA: Minnesota,EAST NA
1,MG931905.1,USA: Minnesota,EAST NA
1,MG931906.1,USA: Minnesota,EAST NA
1,MG931907.1,USA: Minnesota,EAST NA
1,MG931910.1,USA: Minnesota,EAST NA
1,MG931911.1,USA: Minnesota,EAST NA
1,MG931912.1,USA: Minnesota,EAST NA
1,MG931923.1,USA: North Carolina,EAST NA
1,MG931924.1,USA: North Carolina,EAST NA
1,MG931925.1,USA: Tennessee,EAST NA
1,MG931926.1,USA: North Carolina,EAST NA
1,MG931927.1,USA: North Carolina,EAST NA
1,MG931928.1,USA: Tennessee,EAST NA
1,MG931930.1,USA: Tennessee,EAST NA
1,MG931931.1,USA: North Carolina,EAST NA
1,MG931932.1,USA: Tennessee,EAST NA
1,MG931934.1,USA: North Carolina,EAST NA
1,MH855017.1,Canada: Quebec,EAST NA
1,MH910579.1,USA: North Carolina,EAST NA
1,MK271359.1,USA: NY--Wynnea symbiont,EAST NA
1,AY213558.1,USA: West Virginia,EAST NA 
1,AY213571.1,USA: Wisconsin,EAST NA 
1,KX065932.1,USA: Wisconsin,EAST NA 
1,KX065937.1,USA: Wisconsin,EAST NA 
1,KX065938.1,USA: Wisconsin,EAST NA 
1,KX065939.1,USA: Wisconsin,EAST NA 
1,MH979240.1,USA: Wisconsin,EAST NA 
1,AJ250052.1,Finland,EUROPE
1,AJ250053.1,Poland,EUROPE
1,AJ250054.1,Italy,EUROPE
1,AM981225.1,Slovenia,EUROPE
1,AY175808.1,Czech Republic,EUROPE
1,AY175809.1,Czech Republic,EUROPE
1,AY175810.1,Czech Republic,EUROPE
1,AY175811.1,Czech Republic,EUROPE
1,AY175812.1,Czech Republic,EUROPE
1,AY848941.1,Poland,EUROPE
1,AY848942.1,Poland,EUROPE
1,AY996695.1,Finland,EUROPE
1,EU257715.1,Czech Republic,EUROPE
1,EU257716.1,Slovakia,EUROPE
1,EU257717.1,Czech Republic,EUROPE
1,EU257718.1,Czech Republic,EUROPE
1,FJ664580.1,France,EUROPE
1,FJ664585.1,France,EUROPE
1,FJ664601.1,Italy,EUROPE
1,HM036643.1,Lithuania,EUROPE
1,HQ232287.1,Finland,EUROPE
1,HQ232288.1,Finland,EUROPE
1,HQ232289.1,France,EUROPE
1,HQ232291.1,France,EUROPE
1,JF907766.1,Italy,EUROPE
1,JF907777.1,Italy,EUROPE
1,JF907778.1,Italy,EUROPE
1,JN657445.1,Finland,EUROPE
1,JN657446.1,Italy,EUROPE
1,JN657447.1,Ukraine,EUROPE
1,JN657448.1,Ukraine,EUROPE
1,JN657449.1,ukraine,EUROPE
1,JN657450.1,ukraine,EUROPE
1,JN657451.1,Ukraine,EUROPE
1,JN657452.1,France,EUROPE
1,JN657453.1,France,EUROPE
1,JN657454.1,Ukraine,EUROPE
1,JN657455.1,Ukraine,EUROPE
1,JN657456.1,Ukraine,EUROPE
1,JN657457.1,Ukraine,EUROPE
1,JN657458.1,Ukraine,EUROPE
1,JN657459.1,France,EUROPE
1,JN657461.1,Ukraine,EUROPE
1,JN657462.1,Ukraine,EUROPE
1,JN657463.1,Switzerland,EUROPE
1,JN657467.1,Finland,EUROPE
1,JN657468.1,Germany,EUROPE
1,JN657469.1,Switzerland,EUROPE
1,JN657470.1,Switzerland,EUROPE
1,KF020707.1,Slovenia,EUROPE
1,KF020708.1,Slovenia,EUROPE
1,KF020709.1,Slovenia,EUROPE
1,KF020710.1,Slovenia,EUROPE
1,KF823629.1,Germany,EUROPE
1,KM517245.1,Finland,EUROPE
1,KP960520.1,Finland,EUROPE
1,KP960521.1,Finland,EUROPE
1,KP960522.1,Finland,EUROPE
1,KP960525.1,Finland,EUROPE
1,KP960526.1,Italy,EUROPE
1,KP960528.1,Italy,EUROPE
1,KP960529.1,Italy,EUROPE
1,KP960532.1,Italy,EUROPE
1,KP960540.1,Belarus,EUROPE
1,KP960542.1,Italy,EUROPE
1,KP960544.1,Italy,EUROPE
1,KP960553.1,Italy,EUROPE
1,KP960560.1,Italy,EUROPE
1,KT822291.1,Finland,EUROPE
1,KX618536.1,UK,EUROPE
1,KX618537.1,UK,EUROPE
1,KX618543.1,UK,EUROPE
1,KX618545.1,UK,EUROPE
1,KX618547.1,UK,EUROPE
1,KX618574.1,UK,EUROPE
1,KX618575.1,UK,EUROPE
1,KX618577.1,UK,EUROPE
1,KX756393.1,Poland,EUROPE
1,MG066630.1,France,EUROPE
1,MG720820.1,Finland,EUROPE
1,MG931758.1,Finland,EUROPE
1,MG931759.1,Finland,EUROPE
1,MG931760.1,Finland,EUROPE
1,MG931761.1,Finland,EUROPE
1,MG931764.1,France,EUROPE
1,MG931765.1,Italy,EUROPE
1,MG931769.1,France,EUROPE
1,MG931770.1,Germany,EUROPE
1,MG931780.1,Italy,EUROPE
1,MG931842.1,Belarus,EUROPE
1,MH861561.1,Finland,EUROPE
1,MK028874.1,Poland,EUROPE
1,MK028918.1,Poland,EUROPE
1,MK036372.1,Italy,EUROPE
1,MK036375.1,Italy,EUROPE
1,MT406380.1,Poland,EUROPE
1,NR_159624.1,Finland,EUROPE
1,FJ664615.1,USA: Hawaii,HAWAII
1,AY190247.1,South Africa,SUBSAHARAN AFRICA
1,AY190248.1,South Africa,SUBSAHARAN AFRICA
1,AY213553.1,USA: Washington,WEST NA
1,AY213554.1,USA: Idaho,WEST NA
1,AY213563.1,Canada: Bristish Columbia,WEST NA
1,AY213564.1,Canada: Bristish Columbia,WEST NA
1,AY213568.1,Canada: Bristish Columbia,WEST NA
1,AY213572.1,USA: Idaho,WEST NA
1,AY213573.1,Canada: Bristish Columbia,WEST NA
1,AY213575.1,USA: Idaho,WEST NA
1,AY213576.1,USA: Idaho,WEST NA
1,AY213577.1,USA: Idaho,WEST NA
1,AY213578.1,USA: Idaho,WEST NA
1,AY213579.1,USA: Idaho,WEST NA
1,AY213580.1,USA: Idaho,WEST NA
1,AY213581.1,Canada: Bristish Columbia,WEST NA
1,AY213582.1,Canada: Bristish Columbia,WEST NA
1,AY213583.1,USA: Washington,WEST NA
1,AY996616.1,USA: New Mexico,WEST NA
1,AY996617.1,USA: New Mexico,WEST NA
1,AY996618.1,USA: New Mexico,WEST NA
1,AY996619.1,USA: New Mexico,WEST NA
1,AY996620.1,USA: New Mexico,WEST NA
1,AY996621.1,USA: New Mexico,WEST NA
1,AY996622.1,USA: New Mexico,WEST NA
1,AY996623.1,USA: New Mexico,WEST NA
1,AY996624.1,USA: Montona,WEST NA
1,AY996626.1,USA: New Mexico,WEST NA
1,AY996627.1,USA: New Mexico,WEST NA
1,AY996628.1,USA: New Mexico,WEST NA
1,AY996629.1,USA: Idaho,WEST NA
1,AY996630.1,USA: Washington,WEST NA
1,AY996631.1,USA: Oregon,WEST NA
1,AY996632.1,USA: Washington,WEST NA
1,AY996633.1,USA: Idaho,WEST NA
1,AY996634.1,USA: Washington,WEST NA
1,AY996635.1,USA: Idaho,WEST NA
1,AY996636.1,USA: Idaho,WEST NA
1,AY996637.1,USA: Idaho,WEST NA
1,AY996638.1,USA: Idaho,WEST NA
1,AY996639.1,USA: Idaho,WEST NA
1,AY996640.1,USA: Oregon,WEST NA
1,AY996641.1,USA: Montona,WEST NA
1,AY996642.1,USA: Montona,WEST NA
1,AY996643.1,USA: Montona,WEST NA
1,AY996644.1,USA: Montona,WEST NA
1,AY996645.1,USA: Washington,WEST NA
1,AY996646.1,USA: Montona,WEST NA
1,AY996647.1,USA: Washington,WEST NA
1,AY996648.1,USA: Oregon,WEST NA
1,AY996649.1,USA: Washington,WEST NA
1,AY996650.1,USA: Montona,WEST NA
1,AY996651.1,USA: Washington,WEST NA
1,AY996652.1,USA: Idaho,WEST NA
1,AY996653.1,USA: Idaho,WEST NA
1,AY996654.1,USA: Idaho,WEST NA
1,AY996655.1,USA: Washington,WEST NA
1,AY996656.1,USA: Idaho,WEST NA
1,AY996657.1,USA: Idaho,WEST NA
1,AY996658.1,USA: Idaho,WEST NA
1,AY996659.1,USA: Idaho,WEST NA
1,AY996660.1,USA: Idaho,WEST NA
1,AY996661.1,USA: Idaho,WEST NA
1,AY996662.1,USA: Washington,WEST NA
1,AY996663.1,USA: Oregon,WEST NA
1,AY996664.1,USA: Washington,WEST NA
1,AY996665.1,USA: Idaho,WEST NA
1,AY996666.1,USA: Washington,WEST NA
1,AY996667.1,USA: Washington,WEST NA
1,AY996668.1,USA: Montona,WEST NA
1,AY996669.1,USA: Montona,WEST NA
1,AY996670.1,USA: Washington,WEST NA
1,AY996671.1,USA: Washington,WEST NA
1,AY996672.1,USA: Idaho,WEST NA
1,AY996673.1,USA: Washington,WEST NA
1,AY996674.1,USA: Idaho,WEST NA
1,AY996675.1,USA: Idaho,WEST NA
1,AY996676.1,USA: Washington,WEST NA
1,AY996677.1,USA: Washington,WEST NA
1,AY996678.1,USA: Idaho,WEST NA
1,AY996679.1,USA: Washington,WEST NA
1,AY996680.1,USA: Idaho,WEST NA
1,AY996681.1,USA: Idaho,WEST NA
1,AY996682.1,USA: Washington,WEST NA
1,AY996683.1,USA: Idaho,WEST NA
1,AY996684.1,USA: New Mexico,WEST NA
1,AY996685.1,USA: New Mexico,WEST NA
1,AY996686.1,USA: New Mexico,WEST NA
1,AY996687.1,USA: Utah,WEST NA
1,AY996688.1,USA: Idaho,WEST NA
1,AY996689.1,USA: Washington,WEST NA
1,AY996690.1,USA: Utah,WEST NA
1,AY996691.1,USA: Washington,WEST NA
1,AY996692.1,USA: Washington,WEST NA
1,AY996693.1,USA: Montona,WEST NA
1,AY996696.1,USA: Washington,WEST NA
1,AY996697.1,USA: Washington,WEST NA
1,AY996698.1,USA: Washington,WEST NA
1,AY996699.1,USA: Idaho,WEST NA
1,AY996700.1,USA: Idaho,WEST NA
1,AY996701.1,USA: Idaho,WEST NA
1,AY996702.1,USA: New Mexico,WEST NA
1,AY996703.1,USA: New Mexico,WEST NA
1,AY996704.1,USA: Oregon,WEST NA
1,AY996705.1,USA: Oregon,WEST NA
1,AY996707.1,USA: Idaho,WEST NA
1,AY996708.1,USA: Montana,WEST NA
1,AY996709.1,USA: Montana,WEST NA
1,AY996710.1,USA: Oregon,WEST NA
1,AY996711.1,USA: Oregon,WEST NA
1,AY996712.1,USA: Utah,WEST NA
1,AY996713.1,USA: Utah,WEST NA
1,AY996715.1,USA: Idaho,WEST NA
1,AY996716.1,USA: Idaho,WEST NA
1,AY996717.1,USA: Washington,WEST NA
1,AY996718.1,USA: Oregon,WEST NA
1,AY996719.1,USA: Washington,WEST NA
1,AY996720.1,USA: Oregon,WEST NA
1,AY996721.1,USA: Idaho,WEST NA
1,AY996722.1,USA: Idaho,WEST NA
1,DQ011905.1,USA: Idaho,WEST NA
1,FJ664598.1,Canada: Bristish Columbia,WEST NA
1,FJ664599.1,Canada: Bristish Columbia,WEST NA
1,FJ664602.1,Canada: Bristish Columbia,WEST NA
1,FJ664610.1,Canada: Bristish Columbia,WEST NA
1,HQ604790.1,Pacific Northwest,WEST NA
1,KJ146700.1,Canada: Bristish Columbia,WEST NA
1,MG931916.1,USA: Washington,WEST NA
1,MG931936.1,USA: Idaho,WEST NA
1,MG953972.1,Canada: Bristish Columbia,WEST NA
1,MH550346.1,Canada: Bristish Columbia,WEST NA
1,MH550347.1,Canada: Bristish Columbia,WEST NA
1,MH550348.1,Canada: Bristish Columbia,WEST NA
1,MH550349.1,Canada: Bristish Columbia,WEST NA
1,MH550353.1,Canada: Bristish Columbia,WEST NA
1,MH550354.1,Canada: Bristish Columbia,WEST NA
1,MH550355.1,Canada: Bristish Columbia,WEST NA
1,MH550356.1,Canada: Bristish Columbia,WEST NA
1,MH550357.1,Canada: Bristish Columbia,WEST NA
1,MN176998.1,USA: Arizona,WEST NA
1,MZ008435.1,USA: oregon,WEST NA
2,AB300716.1,Japan,EAST ASIA
2,AB300717.1,Japan,EAST ASIA
2,AB300718.1,Japan,EAST ASIA
2,AB300720.1,China,EAST ASIA
2,AB510853.1,Japan,EAST ASIA
2,AB510862.1,Japan,EAST ASIA
2,AB510866.1,Japan,EAST ASIA
2,AB510873.1,Japan,EAST ASIA
2,AB510875.1,Japan,EAST ASIA
2,AB510877.1,Japan,EAST ASIA
2,AB510878.1,Japan,EAST ASIA
2,AB510882.1,Japan,EAST ASIA
2,AB510884.1,Japan,EAST ASIA
2,AB510885.1,Japan,EAST ASIA
2,AB510886.1,Japan,EAST ASIA
2,AB510898.1,Japan,EAST ASIA
2,KM052567.1,South Korea,EAST ASIA
2,KP162323.1,China,EAST ASIA
2,KT822262.1,China,EAST ASIA
2,KT822263.1,China,EAST ASIA
2,KT822267.1,China,EAST ASIA
2,KT822272.1,China,EAST ASIA
2,KT822278.1,China,EAST ASIA
2,KT822287.1,China,EAST ASIA
2,KT822288.1,China,EAST ASIA
2,KT822290.1,China,EAST ASIA
2,KT822300.1,China,EAST ASIA
2,KT822320.1,China,EAST ASIA
2,KT822322.1,China,EAST ASIA
2,KT822328.1,China,EAST ASIA
2,KY389147.1,China,EAST ASIA
2,KY389153.1,China,EAST ASIA
2,KY389155.1,China,EAST ASIA
2,KY389177.1,China,EAST ASIA
2,KY389179.1,China,EAST ASIA
2,KY389180.1,China,EAST ASIA
2,KY389181.1,China,EAST ASIA
2,KY389186.1,China,EAST ASIA
2,KY389187.1,China,EAST ASIA
2,KY389188.1,China,EAST ASIA
2,KY389193.1,China,EAST ASIA
2,MG696197.1,South Korea,EAST ASIA
2,MG931712.1,China,EAST ASIA
2,MG931713.1,China,EAST ASIA
2,MG931714.1,China,EAST ASIA
2,MG931715.1,China,EAST ASIA
2,MG931716.1,China,EAST ASIA
2,MG931717.1,China,EAST ASIA
2,MG931723.1,China,EAST ASIA
2,MG931724.1,China,EAST ASIA
2,MG931725.1,China,EAST ASIA
2,MG931726.1,China,EAST ASIA
2,MG931727.1,China,EAST ASIA
2,MG931728.1,China,EAST ASIA
2,MG931729.1,China,EAST ASIA
2,MG931730.1,China,EAST ASIA
2,MG931747.1,China,EAST ASIA
2,MG931749.1,China,EAST ASIA
2,MG931766.1,Russia,EAST ASIA
2,MG931792.1,China,EAST ASIA
2,MG931795.1,China,EAST ASIA
2,MG931797.1,China,EAST ASIA
2,MG931803.1,China,EAST ASIA
2,MG931805.1,China,EAST ASIA
2,MG931807.1,China,EAST ASIA
2,MG931808.1,China,EAST ASIA
2,MG931813.1,China,EAST ASIA
2,MG931814.1,China,EAST ASIA
